Time,CPU
6590,609
6600,331
6610,422
6620,572
6630,138
6640,517
6650,471
6660,69
6670,244
6680,74
6690,177
6700,314
6710,390
6720,222
6730,461
6740,477
6750,356
6760,472
6770,416
6780,718
6790,0
6800,713
6810,740
6820,250
6830,407
6840,193
6850,642
6860,293
6870,703
6880,461
6890,487
6900,747
6910,429
6920,305
6930,698
6940,219
6950,467
6960,196
6970,375
6980,761
6990,433
7000,423
7010,438
7020,297
7030,710
7040,719
7050,153
7060,521
7070,447
7080,588
7090,475
7100,581
7110,462
7120,242
7130,461
7140,743
7150,262
7160,453
7170,427
7180,552
7190,458
7200,601
7210,0
7220,739
7230,267
7240,457
7250,727
7260,262
7270,713
7280,422
7290,432
7300,295
7310,738
7320,426
7330,412
7340,425
7350,589
7360,479
7370,456
7380,586
7390,468
7400,736
7410,248
7420,466
7430,680
7440,275
7450,350
7460,646
7470,313
7480,458
7490,495
7500,0
7510,482
7520,520
7530,276
7540,436
7550,171
7560,410
7570,0
7580,496
7590,479
7600,0
7610,490
7620,452
7630,773
7640,744
7650,0
7660,798
7670,788
7680,210
7690,484
7700,259
7710,523
7720,814
7730,525
7740,559
7750,534
7760,240
7770,715
7780,245
7790,564
7800,576
7810,227
7820,513
7830,746
7840,0
7850,724
7860,545
7870,547
7880,716
7890,274
7900,548
7910,493
7920,427
7930,496
7940,251
7950,523
7960,230
7970,771
7980,502
7990,236
8000,766
8010,574
8020,492
8030,783
8040,425
8050,443
8060,301
8070,788
8080,0
8090,803
8100,501
8110,301
8120,795
8130,275
8140,786
8150,520
8160,259
8170,690
8180,480
8190,529
8200,540
8210,523
8220,288
8230,784
8240,814
8250,0
8260,795
8270,537
8280,211
8290,718
8300,478
8310,569
8320,554
8330,235
8340,776
8350,499
8360,776
8370,250
8380,518
8390,539
8400,370
8410,485
8420,769
8430,244
8440,513
8450,786
8460,262
8470,532
8480,399
8490,455
8500,724
8510,248
8520,661
8530,445
8540,479
8550,295
8560,716
8570,263
8580,468
8590,776
8600,0
8610,801
8620,0
8630,753
8640,597
8650,0
8660,778
8670,833
8680,529
8690,250
8700,775
8710,0
8720,736
8730,771
8740,0
8750,685
8760,466
8770,210
8780,815
8790,253
8800,534
8810,528
8820,736
8830,371
8840,387
8850,395
8860,493
8870,513
8880,662
8890,0
8900,802
8910,253
8920,555
8930,726
8940,499
8950,518
8960,509
8970,457
8980,540
8990,523
9000,718
9010,555
9020,820
9030,282
9040,479
9050,817
9060,581
9070,793
9080,534
9090,831
9100,0
9110,798
9120,165
9130,440
9140,589
9150,821
9160,263
9170,541
9180,511
9190,288
9200,627
9210,242
9220,560
9230,806
9240,650
9250,278
9260,788
9270,816
9280,291
9290,445
9300,532
9310,491
9320,529
9330,462
9340,353
9350,130
9360,64
9370,0
9380,31
9390,100
9400,0
9410,47
9420,39
9430,0
9440,12
9450,0
9460,0
9470,0
9480,115
9490,0
9500,136
9510,24
9520,28
9530,0
9540,20
9550,0
9560,6
9570,0
9580,0
9590,0
9600,0
9610,0
9620,0
9630,12
9640,168
9650,46
9660,352
9670,432
9680,110
9690,23
9700,0
9710,0
9720,0
9730,0
9740,0
9750,0
9760,0
9770,6
9780,0
9790,0
9800,36
9810,442
9820,283
9830,358
9840,231
9850,227
9860,338
9870,590
9880,272
9890,645
9900,441
9910,518
9920,385
9930,377
9940,487
9950,485
9960,743
9970,366
9980,668
9990,455
10000,647
10010,256
10020,900
10030,442
10040,793
10050,933
10060,152
10070,775
10080,787
10090,250
10100,666
10110,751
10120,422
10130,669
