0,0
4,3974
8,6371
12,12240.142857142857
1,16644.763157894737
5,22985.666666666668
9,27318.18918918919
13,28570.084745762713
2,31348.05442176871
6,32544.566666666662
10,30191.68161434977
14,26403.583011583007
3,25319.546125461253
7,22628.28431372549
11,20068.531250000004
0,19337.23433242508
4,18269.856777493624
8,17013.25411764707
12,15987.310344827602
1,15485.293139293155
5,14776.902152641893
9,13663.499108734415
13,13410.367595818829
2,12908.000000000016
6,12448.404458598743
10,12367.713629402773
14,12482.228739002943
3,12334.402266288962
7,12330.926229508206
11,12637.496062992135
0,12953.722433460085
4,13053.321078431381
8,13207.59857482186
12,13671.54262672812
1,14132.412290502802
5,14378.595238095246
9,14791.295168067234
13,15351.768844221113
2,15253.53564547207
6,15056.009276437855
10,14964.724886877835
14,14598.407211961307
3,14229.039082412919
7,14044.506666666673
11,13799.932244897966
